studytime,absences,G1,G2,freetime,goout,health,internet,Medu,Fedu,schoolsup,famsup,G3,subject
1,2,14,14,4,4,4,yes,1,1,no,yes,14,portuguese
4,0,10,11,4,5,5,no,3,3,no,yes,10,portuguese
2,0,14,13,3,3,1,yes,2,1,no,yes,14,portuguese
1,0,17,16,2,5,5,no,2,2,no,yes,16,portuguese
1,12,6,7,3,5,1,yes,1,2,no,yes,7,portuguese
1,8,14,12,2,5,5,yes,4,3,no,no,13,portuguese
4,2,10,8,3,5,3,no,2,2,no,yes,9,portuguese
4,0,14,14,2,1,5,yes,1,1,yes,yes,14,portuguese
3,0,12,13,4,5,1,yes,2,2,no,no,13,portuguese
1,0,11,11,4,5,5,yes,1,1,no,yes,11,portuguese
2,8,11,9,3,4,3,yes,3,3,no,no,10,portuguese
3,0,11,11,3,3,3,no,1,1,no,yes,10,portuguese
1,0,10,9,4,5,5,yes,2,2,no,yes,9,portuguese
2,0,16,17,3,2,1,no,1,1,no,yes,18,portuguese
2,0,15,17,3,2,1,no,2,2,no,yes,17,portuguese
2,1,11,9,4,5,4,yes,1,0,no,no,10,portuguese
2,9,7,7,3,2,5,yes,1,1,no,yes,7,portuguese
1,0,8,6,1,3,1,yes,3,1,no,no,8,portuguese
1,2,7,6,1,3,3,yes,3,2,no,no,7,portuguese
2,8,9,8,3,5,3,no,1,1,yes,no,10,portuguese
2,0,14,16,3,3,2,yes,4,4,no,no,16,portuguese
1,0,14,14,4,5,2,yes,1,2,no,no,15,portuguese
2,8,8,5,3,2,1,yes,2,4,no,yes,8,portuguese
2,0,8,7,2,1,2,yes,2,1,no,no,0,portuguese
2,6,6,8,3,2,5,yes,1,1,no,yes,8,portuguese
2,0,8,10,3,3,2,yes,2,3,no,yes,10,portuguese
2,4,8,8,3,4,3,yes,4,4,no,yes,8,portuguese
4,2,5,6,5,5,5,yes,4,4,no,yes,6,portuguese
2,2,7,9,2,1,2,no,3,4,no,yes,8,portuguese
3,0,15,14,4,3,5,yes,4,4,no,yes,16,portuguese
1,1,13,14,2,3,5,yes,4,1,no,no,14,portuguese
3,0,10,9,1,3,3,no,2,2,no,no,10,portuguese
1,5,9,9,1,3,5,yes,2,2,no,yes,9,portuguese
1,1,11,11,1,3,5,no,4,4,no,yes,11,portuguese
1,8,7,10,1,4,3,yes,3,3,no,yes,9,portuguese
2,0,10,10,1,3,1,yes,1,1,no,no,10,portuguese
2,2,9,7,2,2,5,yes,2,1,no,no,8,portuguese
2,0,14,15,2,2,3,yes,2,1,no,no,16,portuguese
1,0,11,12,1,2,5,yes,4,4,no,yes,12,portuguese
2,11,9,11,5,5,5,no,1,2,no,yes,10,portuguese
4,8,13,14,4,5,5,no,2,2,no,yes,14,portuguese
1,11,12,13,3,3,5,yes,2,1,no,no,12,portuguese
3,2,11,11,3,3,5,no,2,2,no,yes,11,portuguese
2,8,9,10,2,4,1,yes,4,1,no,yes,10,portuguese
1,5,9,11,3,3,1,no,3,2,no,no,11,portuguese
2,0,11,9,1,3,5,no,2,2,yes,no,11,portuguese
3,1,10,11,3,5,5,yes,4,4,no,yes,12,portuguese
1,2,9,9,3,3,5,yes,4,4,no,no,8,portuguese
1,2,12,11,1,2,5,no,1,3,no,no,12,portuguese
2,8,8,9,4,4,5,yes,3,4,no,yes,8,portuguese
2,0,13,15,2,5,5,yes,4,4,no,yes,16,portuguese
1,0,10,11,1,2,2,yes,4,1,no,no,11,portuguese
2,2,11,10,5,5,3,yes,1,1,no,no,11,portuguese
2,0,17,18,3,3,5,yes,4,2,yes,yes,18,portuguese
2,0,12,13,1,2,5,yes,2,2,no,yes,13,portuguese
2,0,13,14,1,2,1,yes,3,2,no,yes,13,portuguese
2,2,9,9,4,3,4,yes,1,1,no,yes,10,portuguese
1,4,11,11,1,2,5,no,1,0,no,no,12,portuguese
1,3,10,11,5,5,4,yes,1,1,no,yes,10,portuguese
3,5,13,14,3,4,3,yes,1,2,yes,yes,13,portuguese
1,4,9,10,4,4,5,no,1,2,no,no,11,portuguese
2,2,7,9,4,4,5,yes,3,1,no,yes,10,portuguese
1,0,8,13,5,5,5,no,2,2,no,no,10,portuguese
1,0,12,12,3,2,4,no,1,0,yes,yes,13,portuguese
1,0,10,9,5,5,2,yes,1,1,no,yes,10,portuguese
2,6,10,9,3,3,5,no,1,1,no,yes,10,portuguese
2,0,11,13,4,3,1,no,2,2,no,no,12,portuguese
1,0,7,0,2,1,5,no,2,2,no,no,0,portuguese
1,2,11,9,5,5,5,yes,3,2,no,no,10,portuguese
1,0,10,10,5,5,5,yes,1,1,no,no,9,portuguese
1,2,9,7,3,3,5,yes,1,1,no,yes,9,portuguese
1,0,4,0,3,1,5,yes,3,2,no,no,0,portuguese
1,4,6,11,2,1,3,no,3,2,no,no,9,portuguese
2,9,4,8,4,5,3,yes,3,3,no,yes,8,portuguese
1,6,7,8,4,3,4,yes,2,2,no,yes,8,portuguese
1,4,8,9,4,3,5,yes,2,1,no,no,9,portuguese
2,8,5,5,5,5,1,no,3,2,no,yes,7,portuguese
1,9,7,9,3,2,5,no,1,1,no,yes,10,portuguese
1,12,8,11,4,3,4,yes,1,1,no,yes,10,portuguese
1,8,10,11,4,4,2,yes,4,3,no,yes,10,portuguese
1,8,9,10,5,5,5,yes,3,2,no,yes,11,portuguese
2,8,10,9,4,4,2,yes,1,1,no,no,11,portuguese
2,4,8,9,5,4,3,yes,3,3,no,yes,10,portuguese
1,0,9,10,3,3,3,yes,1,3,no,no,9,portuguese
1,4,8,9,4,4,5,yes,1,1,no,yes,10,portuguese
2,2,6,8,3,3,5,no,1,2,no,yes,8,portuguese
1,0,6,8,4,4,5,no,1,1,no,yes,7,portuguese
1,0,8,6,5,5,3,yes,2,2,no,no,0,portuguese
1,0,10,11,4,3,5,yes,0,0,no,yes,11,portuguese
3,5,8,7,2,3,3,no,3,1,no,yes,8,portuguese
2,0,8,8,5,5,5,yes,4,2,yes,yes,0,portuguese
2,3,7,6,3,3,4,yes,2,2,no,yes,8,portuguese
1,0,8,10,2,2,5,no,4,1,no,yes,9,portuguese
1,0,7,10,5,1,3,yes,1,2,no,no,10,portuguese
2,3,7,8,4,4,5,no,1,1,no,no,7,portuguese
2,2,12,13,3,5,1,yes,2,2,no,no,14,portuguese
1,0,11,12,4,3,4,yes,3,3,no,yes,13,portuguese
2,0,12,13,4,3,4,yes,1,2,no,no,14,portuguese
2,0,18,18,3,5,1,yes,4,4,no,no,18,portuguese
1,3,17,17,4,5,5,yes,4,4,no,yes,17,portuguese
2,0,17,18,3,3,4,yes,4,2,no,yes,18,portuguese
2,0,9,0,3,3,4,no,2,2,no,no,0,portuguese
1,8,10,11,1,4,1,no,1,2,no,yes,11,portuguese
1,5,12,13,5,5,1,yes,4,4,no,yes,14,portuguese
1,4,12,13,2,3,4,no,1,1,no,no,14,portuguese
2,4,8,8,3,1,2,yes,2,2,no,yes,10,portuguese
3,0,11,12,4,5,3,yes,2,2,no,no,13,portuguese
2,0,5,0,3,1,5,yes,4,2,no,no,0,portuguese
2,2,9,10,4,2,2,no,1,1,no,no,10,portuguese
1,0,5,0,5,5,2,no,1,1,no,no,0,portuguese
4,0,18,18,2,3,5,yes,4,2,no,no,18,portuguese
2,5,11,11,3,3,2,yes,2,1,no,no,12,portuguese
2,2,8,10,2,3,3,no,1,1,no,no,11,portuguese
2,0,11,11,1,1,4,no,1,2,no,yes,12,portuguese
2,0,8,0,5,4,1,no,1,1,no,yes,0,portuguese
3,5,14,14,2,1,4,yes,2,2,no,no,15,portuguese
2,4,10,11,5,5,2,yes,4,3,no,yes,11,portuguese
2,0,10,10,3,4,5,no,3,3,no,yes,10,portuguese
2,2,12,12,3,3,5,yes,4,4,no,yes,12,portuguese
2,0,15,14,2,3,5,no,3,2,no,no,15,portuguese
1,2,14,13,3,2,3,yes,1,1,no,no,14,portuguese
3,0,19,17,3,2,4,yes,1,1,no,no,18,portuguese
2,0,16,15,3,4,5,no,1,2,no,no,15,portuguese
2,6,13,12,3,2,3,yes,3,3,no,yes,13,portuguese
2,4,15,14,3,4,1,yes,4,4,no,yes,15,portuguese
2,0,13,13,2,2,3,no,1,2,no,no,13,portuguese
2,0,8,10,3,4,3,no,1,3,no,yes,9,portuguese
3,0,15,16,2,2,5,yes,4,4,no,no,16,portuguese
1,0,8,8,2,1,1,yes,1,1,no,yes,9,portuguese
1,0,10,10,2,3,4,yes,2,3,no,yes,10,portuguese
2,0,7,5,2,2,5,yes,4,4,no,yes,0,portuguese
1,3,9,10,3,3,3,yes,1,2,no,yes,10,portuguese
3,8,10,11,4,3,3,no,2,2,no,no,12,portuguese
1,4,7,8,5,5,1,yes,1,2,no,no,9,portuguese
3,0,15,17,4,4,1,yes,4,4,no,no,17,portuguese
3,4,10,11,3,2,4,yes,1,1,no,no,12,portuguese
2,4,7,8,3,3,3,yes,1,1,no,yes,9,portuguese
2,1,13,14,4,3,2,yes,4,4,no,no,14,portuguese
2,1,16,16,1,3,1,yes,3,3,no,no,16,portuguese
2,10,8,9,5,4,1,yes,3,1,no,yes,9,portuguese
2,4,17,18,2,4,2,yes,4,4,no,no,19,portuguese
1,0,7,7,4,3,5,yes,2,1,no,no,0,portuguese
2,4,14,15,4,3,3,yes,2,3,no,no,16,portuguese
1,0,5,8,3,2,5,no,1,1,no,no,0,portuguese
1,0,7,7,4,3,3,no,4,2,no,no,0,portuguese
3,0,14,17,3,3,4,no,2,2,no,no,15,portuguese
2,0,6,9,5,4,1,yes,4,3,no,no,11,portuguese
1,4,7,9,4,3,5,yes,4,4,no,yes,10,portuguese
3,4,10,11,4,2,5,yes,2,3,no,no,10,portuguese
2,4,15,15,3,4,1,yes,3,1,no,yes,16,portuguese
2,6,11,12,1,1,5,no,1,1,no,no,9,portuguese
1,6,10,10,4,5,2,yes,3,1,no,no,10,portuguese
1,4,10,11,4,1,5,yes,3,2,no,no,11,portuguese
